city,city_id,country,utc_dt,latitude,longitude,temperature,max_temp,cloudiness,humidity,wind_speed
Kapaa,5848280,US,1619410468,22.0752,-159.319,72.97,75.2,40,73,13.8
Cidreira,3466165,BR,1619410556,-30.1811,-50.2056,63.91,63.91,65,64,12.66
Albany,5106841,US,1619409784,42.6001,-73.9662,43.07,44.01,54,50,1.99
Nouadhibou,2377457,MR,1619410556,20.931,-17.0347,64.4,64.4,0,82,14.97
Vilhena,3924679,BR,1619410557,-12.7406,-60.1458,67.35,67.35,100,99,3.62
Fortuna,5563839,US,1619410557,40.5982,-124.1573,47.43,50.0,90,93,2.51
Provideniya,4031574,RU,1619410335,64.3833,-173.3,33.8,33.8,0,75,6.71
Padang,1633419,ID,1619410538,-0.9492,100.3543,87.8,87.8,40,66,5.75
Touros,3386213,BR,1619410558,-5.1989,-35.4608,75.2,75.2,20,94,4.61
Castro,3466704,BR,1619410342,-24.7911,-50.0119,55.74,55.74,80,96,2.53
Pevek,2122090,RU,1619410263,69.7008,170.3133,25.61,25.61,99,84,2.33
Marawi,1701054,PH,1619410422,7.9986,124.2928,82.99,82.99,94,78,5.99
Lüderitz,3355672,NA,1619410378,-26.6481,15.1594,61.7,61.7,96,88,3.42
Hokitika,2206894,NZ,1619410559,-42.7167,170.9667,55.33,55.33,96,78,21.05
Hithadhoo,1282256,MV,1619410559,-0.6,73.0833,82.6,82.6,63,67,4.47
Saint-Pierre,935214,RE,1619410350,-21.3393,55.4781,74.28,78.8,0,69,18.41
Hobart,2163355,AU,1619410260,-42.8794,147.3294,60.17,66.2,40,45,18.41
Saldanha,3361934,ZA,1619410560,-33.0117,17.9442,60.8,60.8,12,94,10.36
Port Hawkesbury,6111867,CA,1619410561,45.6169,-61.3485,43.61,44.01,90,100,10.36
Bozoum,2387546,CF,1619410561,6.3193,16.3799,68.88,68.88,97,86,3.13
Scunthorpe,2638324,GB,1619410561,53.579,-0.6544,35.87,36.0,90,87,1.14
Hilo,5855927,US,1619410562,19.7297,-155.09,67.8,73.4,90,83,6.91
Wanning,1791779,CN,1619410562,18.8003,110.3967,84.31,84.31,99,69,11.65
Adrar,2381972,MR,1619410562,20.5022,-10.0711,76.91,76.91,48,21,9.64
Bilibino,2126682,RU,1619410563,68.0546,166.4372,25.57,25.57,100,79,2.64
Tangi,1163927,PK,1619410563,34.3006,71.6536,84.2,84.2,20,32,0.36
Acapulco de Juárez,3533462,MX,1619410365,16.8634,-99.8901,79.84,79.84,90,73,2.08
Pandamatenga,933178,BW,1619410564,-18.5278,25.627,64.53,64.53,90,53,4.61
The Valley,3573374,AI,1619410398,18.217,-63.0578,77.92,78.8,20,69,12.66
Karratha,6620339,AU,1619410481,-20.7377,116.8463,88.25,88.25,0,20,15.64
Bököny,722133,HU,1619410565,47.7333,21.75,35.6,35.6,0,80,8.05
Agbor,2351979,NG,1619410565,6.2518,6.1934,75.49,75.49,91,97,2.75
Yerbogachën,2012956,RU,1619410330,61.2767,108.0108,29.84,29.84,99,57,13.33
Cody,5821593,US,1619410559,44.5263,-109.0565,47.34,48.2,90,43,13.8
Yar-Sale,1486321,RU,1619410365,66.8333,70.8333,33.49,33.49,100,99,15.01
Iguape,3461465,BR,1619410566,-24.7081,-47.5553,72.34,72.34,99,78,1.5
Vestmanna,2610343,FO,1619410566,62.1564,-7.1664,42.8,42.8,100,100,18.41
Ponta do Sol,2264557,PT,1619410567,32.6667,-17.1,54.7,59.0,45,83,5.01
Chota,3698141,PE,1619410567,-6.55,-78.65,54.77,54.77,58,92,1.57
Khatanga,2022572,RU,1619410534,71.9667,102.5,16.77,16.77,100,86,17.02
Berlevåg,780687,NO,1619410527,70.8578,29.0864,33.8,33.8,75,86,8.05
Strezhevoy,1490796,RU,1619410568,60.7333,77.5889,48.2,48.2,0,37,8.95
Tabou,2281120,CI,1619410569,4.423,-7.3528,76.06,76.06,100,89,5.21
Mirny,2019951,RU,1619410569,62.5353,113.9611,23.59,23.59,100,67,15.03
Morón,3430545,AR,1619410567,-34.6534,-58.6198,58.93,61.0,9,97,4.21
Yatou,1786855,CN,1619410570,37.15,122.3833,62.2,62.2,60,56,12.82
Lagoa,3372964,PT,1619410570,39.05,-27.9833,58.8,58.8,100,85,10.63
Taksimo,2015701,RU,1619410570,56.3444,114.8794,39.2,39.2,100,58,5.23
Seoul,1835848,KR,1619410126,37.5683,126.9778,66.76,68.0,75,52,6.91
Gamba,2400547,GA,1619410375,-2.65,10.0,76.44,76.44,67,90,2.59
La Ronge,6050066,CA,1619410571,55.1001,-105.2842,32.9,33.8,100,59,9.22
Sioux Lookout,6148373,CA,1619410572,50.1001,-91.917,39.2,39.2,75,38,10.36
Dzilam González,3529654,MX,1619410572,21.2833,-88.9333,76.42,76.42,2,81,4.07
Atuona,4020109,PF,1619410572,-9.8,-139.0333,79.84,79.84,71,77,17.81
Cayenne,3382160,GF,1619410460,4.9333,-52.3333,77.0,77.0,75,94,8.05
Boa Vista,3664980,BR,1619410554,2.8197,-60.6733,78.8,78.8,75,78,6.91
Baruun-Urt,2032614,MN,1619410574,46.6806,113.2792,48.69,48.69,4,21,31.81
Salzgitter,2842150,DE,1619410574,52.1526,10.3314,28.51,30.0,15,23,2.28
Hualmay,3939761,PE,1619410574,-11.0964,-77.6139,65.8,65.8,17,89,8.03
