,city,city_id,latitude,longitude,temperature,cloudiness,humidity,wind_speed
90,Castro,3466704,-24.7911,-50.0119,70.12,3,47,1.3
91,Hearst,5973108,49.6835,-83.6665,55.4,37,35,8.05
92,Taft,113632,31.7471,54.2088,89.6,75,12,6.91
93,Pontianak,1630789,-0.0333,109.3333,77.0,40,100,1.14
94,Inhambane,1045114,-23.865,35.3833,72.43,6,70,7.9
95,Jaciara,3460355,-15.9653,-54.9683,89.94,61,28,3.94
96,Yellowknife,6185377,62.456,-114.3525,12.43,90,67,11.5
97,Arraial do Cabo,3471451,-22.9661,-42.0278,77.77,0,69,21.85
98,Isangel,2136825,-19.55,169.2667,77.88,28,86,9.64
99,George Town,1735106,5.4112,100.3354,79.11,40,89,2.64
100,Champasak,1657818,14.75,106.0,77.5,78,80,2.86
101,Hobyo,57000,5.3505,48.5268,84.2,51,67,13.96
102,Taitung City,6949678,22.7583,121.1444,74.62,86,87,9.13
103,Ambon City,1651531,-3.6954,128.1814,78.8,40,89,4.61
104,Katobu,1640972,-4.9408,122.5276,74.34,0,92,1.5
105,Yurgamysh,1485721,55.3714,64.4656,48.78,100,41,11.03
106,Tibacuy,3792406,4.3511,-72.4564,92.52,46,39,9.95
107,Saskylakh,2017155,71.9167,114.0833,27.21,100,97,9.62
108,Olafsvik,3414079,64.8945,-23.7142,43.54,100,92,13.91
109,Bethel,5282297,41.3712,-73.414,50.58,1,30,14.97
110,Guerrero Negro,4021858,27.9769,-114.0611,61.68,100,66,16.11
111,Longyearbyen,2729907,78.2186,15.6401,15.8,0,67,5.75
112,Khatanga,2022572,71.9667,102.5,34.21,100,89,21.07
113,Bredasdorp,1015776,-34.5322,20.0403,66.2,35,63,13.8
114,Visby,2662689,57.6409,18.296,40.55,0,70,11.5
115,Norman Wells,6089245,65.282,-126.8329,15.8,20,79,3.44
116,Lashio,1314759,22.9333,97.75,75.45,13,40,1.39
117,Sur,286245,22.5667,59.5289,89.24,3,33,9.66
118,Champerico,3598787,14.3,-91.9167,86.0,75,74,3.11
119,Troitsko-Pechorsk,481548,62.7084,56.1964,42.84,91,84,5.79
120,Aykhal,2027296,66.0,111.5,26.4,100,85,10.6
121,Axum,344420,14.1245,38.7244,72.39,99,31,12.39
122,Liberal,5445820,37.0431,-100.921,51.8,90,82,4.61
123,Shestakovo,2016733,56.4915,103.96,24.17,54,93,1.9
124,Qaanaaq,3831208,77.484,-69.3632,22.86,100,83,7.29
125,Tiksi,2015306,71.6872,128.8694,-0.13,55,100,5.66
126,Conde,3385077,-7.2597,-34.9075,87.8,75,66,10.36
127,Puerto Ayora,3652764,-0.7393,-90.3518,81.64,40,74,10.36
128,Chapais,5919850,49.7834,-74.8492,37.4,1,44,14.97
129,Kununurra,2068110,-15.7667,128.7333,66.2,15,82,7.78
130,Lüderitz,3355672,-26.6481,15.1594,66.88,0,73,16.82
131,Iqaluit,5983720,63.7506,-68.5145,28.2,90,74,5.75
132,Acarí,3948613,-15.4311,-74.6158,77.83,55,62,9.8
133,Fort Nelson,5955902,58.8053,-122.7002,28.4,75,50,10.36
134,Eureka,5563397,40.8021,-124.1637,50.54,87,83,4.0
135,Marystown,6067472,47.1666,-55.1483,41.09,75,58,21.45
136,Bluff,2206939,-46.6,168.3333,45.0,25,96,5.01
137,San Quintín,3984997,30.4833,-115.95,60.28,43,72,14.61
138,Dingle,1714733,10.9995,122.6711,77.5,100,80,6.49
139,Avera,4231997,33.194,-82.5271,64.6,40,27,6.91
140,Guadix,2516925,37.2993,-3.1392,60.01,100,43,10.0
141,Lebu,3883457,-37.6167,-73.65,58.86,52,68,4.5
142,Atar,2381334,20.5169,-13.0499,98.92,0,4,8.68
143,Vestmannaeyjar,3412093,63.4427,-20.2734,44.6,90,87,21.85
144,San Jerónimo,3929611,-11.9472,-75.2829,57.65,36,59,1.32
145,Poltavka,1494500,54.3663,71.7632,41.29,94,44,9.46
146,Nikolskoye,546105,59.7035,30.7861,44.87,75,49,13.42
147,Smidovich,2016412,48.6,133.8167,47.16,90,29,15.7
148,La Plata,3432043,-34.9215,-57.9545,76.55,9,64,1.99
149,Faanui,4034551,-16.4833,-151.75,79.86,38,75,11.61
150,Souillac,933995,-20.5167,57.5167,78.8,75,83,11.5
151,Necochea,3430443,-38.5473,-58.7368,62.01,100,95,4.0
152,Gravelbourg,5965462,49.8834,-106.5512,24.8,86,50,4.61
153,Bairnsdale,2177233,-37.8333,147.6167,45.0,51,92,5.06
154,Yulara,6355222,-25.2406,130.9889,59.0,0,51,8.05
155,Rawson,3839307,-43.3002,-65.1023,63.66,12,50,15.95
156,Korla,1529376,41.7597,86.1469,45.5,4,69,11.83
157,Nālūt,2214432,30.3333,10.85,89.04,18,15,21.43
158,Unguía,3666475,8.0434,-77.0945,86.45,78,70,3.69
159,Mar del Plata,3430863,-38.0023,-57.5575,69.24,40,83,9.22
160,Caravelas,3466980,-17.7125,-39.2481,82.13,70,63,5.95
161,Leh,1264976,34.1667,77.5833,32.02,100,71,5.82
162,Benguela,3351663,-12.5763,13.4055,84.15,70,75,6.82
163,Bengkulu,1649150,-3.8004,102.2655,75.43,79,90,3.89
164,Atuona,4020109,-9.8,-139.0333,80.29,27,79,21.81
165,Hamilton,4513583,39.1834,-84.5333,53.53,75,40,5.75
166,Lerwick,2644605,60.1545,-1.1494,48.2,20,71,8.05
167,Keetmanshoop,3356264,-26.5833,18.1333,86.0,0,15,2.3
168,Lorengau,2092164,-2.0226,147.2712,78.78,100,81,3.47
169,Port Elizabeth,964420,-33.918,25.5701,66.2,0,82,23.02
170,Karratha,6620339,-20.7377,116.8463,78.51,1,41,6.35
171,Leningradskiy,2123814,69.3833,178.4167,23.94,100,94,5.7
172,Bud,4255151,39.447,-86.1758,51.94,90,40,6.91
173,Northam,2641434,51.0333,-4.2167,55.0,53,57,3.0
174,Nizhniy Kuranakh,2019135,58.8353,125.4869,24.69,100,83,11.52
175,Sand Springs,4550659,36.1398,-96.1089,58.33,100,72,10.36
176,Valparaíso,3868626,-33.0393,-71.6273,58.48,90,88,2.3
177,Muli,1337617,2.9167,73.5667,83.86,45,68,10.71
178,Balabac,1728675,7.9868,117.0645,81.3,89,79,11.39
179,Hasaki,2112802,35.7333,140.8333,46.53,0,81,8.05
180,Beringovskiy,2126710,63.05,179.3167,14.59,98,87,6.33
181,Ulcinj,3188516,41.9294,19.2244,56.79,75,82,3.44
182,Pekalongan,1631766,-6.8886,109.6753,78.46,17,79,3.18
183,Sovetskiy,1491230,61.3614,63.5842,41.09,100,92,6.98
184,Chifeng,2038067,42.2683,118.9636,49.39,32,83,9.26
185,Codrington,2171099,-38.2667,141.9667,53.94,100,83,8.12
186,Tyukhtet,1488774,56.5389,89.3011,29.28,6,85,6.15
187,Sabang,1214026,5.8933,95.3214,83.79,70,72,17.07
188,Shingū,1847947,33.7333,135.9833,58.23,100,72,4.18
189,Gushikawa,1863495,26.3544,127.8686,68.0,90,77,14.97
190,Alice,4670234,27.7523,-98.0697,76.21,90,88,12.66
191,Port Hedland,2063042,-20.3167,118.5667,69.8,0,56,8.05
192,Paamiut,3421193,61.994,-49.6678,34.7,1,72,5.26
193,Khani,610864,41.9563,42.9566,68.0,0,45,4.61
194,Bull Savanna,3491161,17.8868,-77.5902,82.4,1,55,8.21
195,Flin Flon,5954718,54.7682,-101.865,26.6,40,59,4.61
